"","JD","hw.reg","mid.reg","ms.reg"
"1",1,5.13359496762749,5.0821334133299,6.09298939359771
"2",1.5,6.23809496762749,6.57377774322681,7.32634772693104
"3",2,5.12895016999126,5.07779373351429,6.0851769871098
"4",2.5,6.22360537235504,6.55807570318321,7.30491624728856
"5",3,5.11938297353693,5.06777287358468,6.0705550440446
"6",3.5,6.21636057471881,6.55022468316141,7.29420050746732
"7",4,5.1134381759007,5.06167752366598,6.06129097089003
"8",4.5,6.20911577708259,6.54237366313962,7.28348476764608
"9",5,5.10981577708259,5.05775201365508,6.05593310097941
"10",5.5,6.20911577708259,6.54237366313962,7.28348476764608
"11",6,5.10749337826448,5.05558217374727,6.05202689773546
"12",6.5,6.20187097944636,6.53452264311782,7.27276902782483
"13",7,5.10387097944636,5.05165666373638,6.04666902782483
"14",7.5,6.20187097944636,6.53452264311782,7.27276902782483
"15",8,5.10154858062825,5.04948682382857,6.04276282458088
"16",8.5,6.19462618181014,6.52667162309602,7.26205328800359
"17",9,5.09792618181014,5.04556131381767,6.03740495467026
"18",9.5,6.19462618181014,6.52667162309602,7.26205328800359
"19",10,5.09792618181014,5.04556131381767,6.03740495467026
"20",10.5,6.19462618181014,6.52667162309602,7.26205328800359
"21",11,5.09792618181014,5.04556131381767,6.03740495467026
"22",11.5,6.19462618181014,6.52667162309602,7.26205328800359
"23",12,5.09792618181014,5.04556131381767,6.03740495467026
"24",12.5,6.19462618181014,6.52667162309602,7.26205328800359
"25",13,5.09792618181014,5.04556131381767,6.03740495467026
"26",13.5,6.19462618181014,6.52667162309602,7.26205328800359
"27",14,5.10024858062825,5.04773115372548,6.04131115791421
"28",14.5,6.20187097944636,6.53452264311782,7.27276902782483
"29",15,5.10387097944636,5.05165666373638,6.04666902782483
"30",15.5,6.20187097944636,6.53452264311782,7.27276902782483
"31",16,5.10619337826448,5.05382650364418,6.05057523106879
"32",16.5,6.20911577708259,6.54237366313962,7.28348476764608
"33",17,5.1121381759007,5.05992185356289,6.05983930422336
"34",17.5,6.21636057471881,6.55022468316141,7.29420050746732
"35",18,5.11808297353693,5.06601720348159,6.06910337737794
"36",18.5,6.22360537235504,6.55807570318321,7.30491624728856
