"JD","WT"
157.1,22.5536899874054
157.6,22.5536899874054
158.1,22.7480750468272
158.6,22.7480750468272
159.1,22.9447778237518
159.6,22.9447778237518
160.1,23.1437474132897
160.6,23.1437474132897
161.1,23.3449304488698
161.6,23.3449304488698
162.1,23.548269531627
162.6,23.548269531627
163.1,23.7536911335202
163.6,23.7536911335202
164.1,23.9611176942141
164.6,23.9611176942141
165.1,24.1704716533735
165.6,24.1704716533735
166.1,24.3816709602111
166.6,24.3816709602111
167.1,24.5946156021319
167.6,24.5946156021319
168.1,24.8092010760891
168.6,24.8092010760891
169.1,25.025319503372
169.6,25.025319503372
170.1,25.2428495026153
170.6,25.2428495026153
171.1,25.4616663167899
171.6,25.4616663167899
172.1,25.6816396518366
172.6,25.6816396518366
173.1,25.9026170655739
173.6,25.9026170655739
174.1,26.1244405787901
174.6,26.1244405787901
175.1,26.3469522122732
175.6,26.3469522122732
176.1,26.5699887506462
176.6,26.5699887506462
177.1,26.7933660338712
177.6,26.7933660338712
178.1,27.0168946657447
178.6,27.0168946657447
179.1,27.2403790237771
179.6,27.2403790237771
180.1,27.4635985803321
180.6,27.4635985803321
181.1,27.6863265814871
181.6,27.6863265814871
182.1,27.9083362733194
182.6,27.9083362733194
183.1,28.1293959621253
183.6,28.1293959621253
184.1,28.3492541950771
184.6,28.3492541950771
185.1,28.5676545795661
185.6,28.5676545795661
186.1,28.784341257148
186.6,28.784341257148
187.1,28.9990605060358
187.6,28.9990605060358
188.1,29.211559138607
188.6,29.211559138607
189.1,29.4215832866663
189.6,29.4215832866663
190.1,29.6288763597273
190.6,29.6288763597273
191.1,29.8331810867307
191.6,29.8331810867307
192.1,30.0342401966173
192.6,30.0342401966173
193.1,30.2317959097133
193.6,30.2317959097133
194.1,30.4255884118866
194.6,30.4255884118866
195.1,30.6153573803906
195.6,30.6153573803906
196.1,30.8008421176429
196.6,30.8008421176429
197.1,30.9817804267171
197.6,30.9817804267171
198.1,31.1579097358508
198.6,31.1579097358508
199.1,31.3289663856005
199.6,31.3289663856005
200.1,31.4946823657984
200.6,31.4946823657984
201.1,31.6547885785954
201.6,31.6547885785954
202.1,31.8090159261425
202.6,31.8090159261425
203.1,31.9570966337983
203.6,31.9570966337983
204.1,32.0987682197517
204.6,32.0987682197517
205.1,32.2337695253994
205.6,32.2337695253994
206.1,32.3618449881181
206.6,32.3618449881181
207.1,32.4827614292053
207.6,32.4827614292053
208.1,32.5962912659383
208.6,32.5962912659383
209.1,32.7022138720297
209.6,32.7022138720297
210.1,32.8003364469322
210.6,32.8003364469322
211.1,32.8904731465336
211.6,32.8904731465336
212.1,32.9724381267218
212.6,32.9724381267218
213.1,33.0460523914265
213.6,33.0460523914265
214.1,33.1111643367467
214.6,33.1111643367467
215.1,33.1676292068232
215.6,33.1676292068232
