"","baseline","density.hi","density.lo","movement.hi","movement.lo","food.hi","food.lo","nfish.hi","nfish.lo","constration"
"260",200.918915398957,285.711995310323,13.3770074142866,200.840551196049,200.934255624618,353.660334775155,80.2206856121802,298.898105605329,40.3374988806318,162.734052169743
"261",504.536384955619,816.316387982079,124.268242812146,483.971196462475,504.748998223387,831.013179154737,365.615977162804,455.740115090615,196.47709170481,194.448827118058
"262",209.774491959529,405.118137904536,50.3883912148001,204.482101690582,209.114190105958,325.664670850474,76.85917491586,298.812492589967,411.973355607789,74.9899275024936
"263",195.173808347092,288.124260601387,14.3412632225795,195.151120301832,195.181869757435,344.852245377901,78.7488025955146,688.923572405074,225.306812927691,163.361608002183
"264",228.734624012261,363.71053813641,101.348797048778,280.361520219405,445.772913426058,695.276837873379,304.610201043972,127.801251695388,360.923386789295,228.559035934885
"265",71.9000392779309,353.818730875043,11.5252659982955,71.8541034923966,71.903464142977,163.162524017888,-0.225787521524835,116.645359525974,606.170083311189,13.3335036900832
"266",190.553098498649,504.359673717887,-10.3588024039644,190.42553252474,190.583675682616,293.335048844115,32.7048221348799,611.28953413123,87.5643846611699,87.3446623768252
"267",53.3143552693977,150.048655456306,13.3681766337926,138.997639120278,3.58689699680346,135.545513727408,78.0365016117537,421.080986913767,456.711439259934,87.8180937430275
"268",698.131340050182,1065.14575654817,134.333855413993,698.131340050182,698.131340050182,996.776180554955,377.688128148778,215.396614756093,303.810565457504,237.581692170238
"269",76.5765597675135,143.212727458772,-25.248597611554,76.527758950107,76.5812804505634,163.159660326266,6.27950522705338,747.294398443082,67.8760871104425,2.52604303893972
"270",141.339309451487,284.980498580836,7.1873837561436,58.0281795464103,57.8812813462313,135.652460444383,45.7817571763622,621.415328041069,512.247965133607,86.6493190160588
"271",77.2130640494198,93.0206952447269,-38.2476148898819,76.9470491234466,77.2572326010175,164.13784395198,5.57431030370757,58.357268062111,378.512993983701,51.2468608003335
"272",684.725094431744,935.281404674698,128.26867183397,684.725094431744,684.725094431744,960.075576282308,412.565777537129,754.295217761764,72.2916339852974,265.959248201191
"273",396.905779762472,590.275664608211,35.4383494486301,396.905779762472,396.905779762472,668.846159625704,347.232976032643,16.8190797920423,167.589186282439,143.414371715931
