"","baseline","density.hi","density.lo","movement.hi","movement.lo","food.hi","food.lo","nfish.hi","nfish.lo","constration"
"269",76.5765597675135,143.212727458772,-25.248597611554,76.527758950107,76.5812804505634,163.159660326266,6.27950522705338,597.228618643311,67.8760871104425,2.52604303893972
"270",144.466360313434,272.662413389593,7.1873837561436,58.0367847491536,57.8812813462313,135.564107407725,63.1303328229893,540.232448394205,518.140098609174,80.5052454801259
"271",77.2130640494198,93.0206952447269,-38.2476148898819,76.9470491234466,77.2572326010175,164.13784395198,5.57431030370757,58.357268062111,342.248041797258,51.2468608003335
"272",558.26835494535,779.136372202138,128.26867183397,558.26835494535,684.725094431744,791.932654598801,380.885500478191,614.616485737914,72.2916339852974,191.212876006936
"273",362.044615343165,541.643608509163,35.4383494486301,362.044615343165,396.905779762472,545.496329137603,316.937212391613,16.8190797920423,167.589186282439,117.904082491316
"274",277.144542023385,480.530920264375,104.290582459701,277.06432366839,327.267526028167,431.945314009185,189.367848811377,162.585723559481,305.120523020052,148.629300327699
"275",73.2272877063464,80.7886321066124,-33.5678116274493,87.0791325198276,73.3330620951289,163.323639220814,-12.087424831041,586.312309023099,79.263984813675,79.6421062125798
"276",58.1086420109543,111.92256311144,-28.2528357285944,58.225543529257,16.2762499037713,140.836202408519,-32.646789120774,455.027759112654,126.177307147962,80.4895432998081
"277",155.027921329672,279.750949044536,-26.7682739272986,154.629730519265,135.82769847439,357.438962409943,234.703370384362,191.997870741015,371.347742224321,98.2472509178015
"278",278.615997564536,405.358135998435,56.7620168804378,278.615997564536,210.950711322542,421.795084423776,145.215925235761,47.7235124813089,241.974811232113,115.722850318089
"279",58.1565445790558,274.477882730715,7.86218828594461,145.816817282912,58.156075996318,140.882844445815,-5.12325371914639,333.749087423279,46.830657647301,87.7828175221115
"280",77.6040716701241,144.865687231461,-52.3567664746622,77.465511449593,77.6251457027433,164.711785885675,7.1008739676613,58.1231288018217,241.99487104808,2.56983706684527
"281",639.173979306468,1038.00958076688,81.2985631867287,642.397573846955,739.805604575538,872.483590050873,387.421078115569,341.171200848347,125.476407847022,183.769567562114
"282",504.843615932195,845.253372905338,86.7008588040046,504.776950685449,584.360937764578,723.027390835405,334.734631457818,274.800495848754,126.158280590295,70.9905332003865
"283",607.128081928407,697.496449488866,-25.4083733379606,583.957785740121,725.311965139133,826.390010308943,388.428772945531,525.097751398038,125.896913812763,190.374207982574
"284",549.524172651036,824.484235815754,-16.3255956496403,549.370083282498,441.454088300649,783.347719553984,278.601950784192,274.803379023337,61.958679501576,152.784976710867
"285",278.409274946399,751.657050632546,63.4748843416867,288.131356595914,208.730987612947,441.026797255664,272.695392586138,132.73911020256,484.794181576319,144.283278015721
"286",709.093769800521,1039.85414052055,156.919718339504,709.093769800521,697.593461491781,1036.2538977284,435.962212041766,153.207400903936,333.363198080077,154.528837374325
"287",199.323865636056,53.0076728366001,-26.4422976084975,199.323865636056,182.282201843354,164.837334015255,67.9063263763048,396.871424615193,164.085737501267,152.879906072298
"288",274.754614959649,400.026386190276,53.4112359284893,276.126149037844,205.039316287848,414.353001570714,162.645149323954,77.7565934718649,292.730560040356,122.365120597036
"289",74.1041237574541,113.591951228067,-23.2502332397424,73.6438823516739,74.1795908669292,164.764890165433,1.04660934664408,57.9691384354333,193.538377176097,38.6482277901501
"290",536.765956512427,799.844965228253,146.296031571242,536.727883679342,597.958195354468,875.587385194097,339.75580669223,131.660106218157,233.791571317766,206.388085092267
"291",343.897841649544,426.351110412509,83.9556798055474,343.897841649544,368.529015914778,527.298180125417,178.001071942807,108.082474756719,100.331393497683,132.260079409628
