"","all.production","swh.production","pch.production"
"1",217.341880525503,280.61374862752,-63.2718681020173
"2",191.353050434543,189.503644600294,1.84940583424938
"3",-1.43853188476049,-1.47798522443703,0.0394533396765382
"4",316.347183665525,266.69469517724,49.6524884882844
"5",181.69291390802,242.042277664802,-60.3493637567818
"6",253.905940624323,323.939290032445,-70.033349408122
"7",551.35579716912,554.984849414692,-3.62905224557236
"8",726.913466820903,571.301889282991,155.611577537912
"9",200.754288397685,202.276929143854,-1.52264074616984
"10",135.639989233256,135.639989233256,0
"11",297.560846492814,247.232441988501,50.3284045043128
"12",192.522385312673,190.085062263046,2.4373230496264
"13",218.021776470488,292.891612384357,-74.8698359138689
"14",213.499929285224,278.597705108578,-65.0977758233544
"15",371.889269947465,319.032829644658,52.8564403028073
"16",121.966895093009,121.966895093009,0
"17",16.5008895681442,16.5008895681442,0
"18",298.505810515883,389.586403936903,-91.0805934210201
"19",504.134119892879,517.621285124676,-13.487165231797
"20",318.19780629167,324.001960068957,-5.80415377728708
"21",601.536634506861,513.109927126111,88.4267073807503
"22",52.6825376102685,52.6825376102685,0
"23",205.248606356141,204.967046685634,0.281559670507847
"24",237.087077341211,303.099423704261,-66.0123463630494
"25",86.3758029541171,86.3758029541171,0
"26",181.245087711339,241.580916112717,-60.3358284013784
"27",284.396228795646,297.514324094779,-13.1180952991328
"28",298.875925487114,249.660504537746,49.2154209493672
"29",217.280080220589,280.543884009845,-63.2638037892556
"30",52.6524139141874,52.6524139141874,0
"31",396.124251596589,340.841533911518,55.2827176850715
"32",52.4859549012497,52.4859549012497,0
"33",41.0309361002936,41.0309361002936,0
"34",622.55680805033,414.178933195593,208.377874854737
"35",694.370898300571,601.02080841205,93.3500898885203
"36",161.961615391448,161.961615391448,0
"37",77.3509388294311,77.3509388294311,0
"38",69.9501797033121,69.9501797033121,0
"39",41.0350526440902,41.0350526440902,0
"40",54.612237146538,54.612237146538,0
"41",133.805298312733,141.993204861899,-8.18790654916561
"42",415.387930963927,427.514449892277,-12.1265189283499
"43",52.7068338702714,52.7068338702714,0
"44",249.162882935068,327.288257727697,-78.1253747926291
"45",218.305929495738,289.179048178642,-70.8731186829035
"46",216.079776400058,280.079254303993,-63.9994779039359
"47",543.110538717354,549.202540983718,-6.09200226636352
"48",211.644640629373,214.728396849082,-3.08375621970908
"49",77.6538951302831,77.6538951302831,0
"50",330.139344336121,342.180189012904,-12.0408446767839
"51",311.497739604326,281.315181884227,30.1825577200985
"52",123.563420106311,123.563420106311,0
"53",316.361020765004,266.706443733976,49.6545770310278
"54",382.090872145844,396.041710653533,-13.9508385076884
"55",161.360912250152,161.360912250152,0
"56",192.418845988549,190.495164747489,1.92368124106021
"57",213.032003625424,278.065744060213,-65.0337404347886
"58",535.382858923851,466.860646716307,68.522212207544
"59",655.375949268697,497.550162165,157.825787103697
"60",251.734411040269,331.176221215314,-79.4418101750447
"61",253.360219207347,321.162652425116,-67.8024332177689
"62",278.250937614403,233.904691993016,44.3462456213872
"63",546.689572817746,556.663000913236,-9.97342809549022
"64",692.186478634278,701.759421168981,-9.57294253470375
"65",192.346920939856,193.227788485749,-0.880867545892675
"66",532.672701097224,538.651879674501,-5.97917857727646
"67",160.650857582826,165.032188547863,-4.38133096503714
"68",186.673346949462,177.836889422293,8.83645752716909
"69",399.934909637371,348.572320373022,51.362589264349
"70",361.860721365756,309.299788749354,52.5609326164024
"71",52.3388329098158,52.3027069620946,0.0361259477212655
"72",168.823746751181,187.366964753074,-18.5432180018933
"73",298.886377530487,249.669328931655,49.2170485988318
"74",107.657460220876,107.657460220876,0
"75",297.555510417401,247.231518425259,50.323991992142
"76",215.644420195358,222.886566337545,-7.24214614218604
"77",309.076725798679,317.363773916941,-8.28704811826244
"78",584.428302500241,523.081920347709,61.3463821525312
"79",484.185187991199,487.480467112913,-3.29527912171457
"80",-0.54222983256885,-0.54222983256885,0
"81",52.695553920101,52.695553920101,0
"82",182.768237125781,242.487455155341,-59.7192180295602
"83",213.386365324379,278.530814646774,-65.1444493223952
"84",256.131996634529,327.347681348065,-71.2156847135364
"85",52.6341551968683,52.6341551968683,0
"86",603.820834354464,528.792204047666,75.0286303067979
"87",298.703037667454,249.514540588357,49.188497079097
"88",13.3168006477644,13.3168006477644,0
"89",388.468851146291,327.472014684738,60.9968364615526
"90",142.907602783654,145.461705921704,-2.55410313805015
"91",52.4717648605267,52.4717648605267,0
"92",654.783029251825,565.778795792697,89.0042334591274
"93",26.5712080956526,26.5712080956526,0
"94",662.976562202118,580.97500946152,82.0015527405975
"95",243.445127061863,309.889670973939,-66.4445439120751
"96",175.790356575974,185.878204011248,-10.0878474352735
"97",26.7298387553198,26.7298387553198,0
"98",122.811986234061,122.811986234061,0
"99",207.142377647592,206.402761031884,0.739616615708587
"100",41.3724922652912,41.3724922652912,0
"101",52.664950360544,52.664950360544,0
"102",206.892279432235,206.421125344023,0.471154088211667
"103",109.236203923877,109.236203923877,0
"104",215.951491633572,279.989282183253,-64.037790549681
"105",52.4208919727875,52.4208919727875,0
"106",678.555096143268,585.950440123018,92.6046560202497
"107",52.4719051641363,52.4719051641363,0
"108",76.8101149172083,76.8101149172083,0
"109",245.809052564063,314.220123851989,-68.4110712879264
"110",211.621401514791,214.633536328499,-3.01213481370765
"111",469.458500317415,410.122486391061,59.3360139263537
"112",52.7122878008819,52.7122878008819,0
"113",178.919440939725,181.978750684731,-3.05930974500641
"114",16.991148351386,16.991148351386,0
"115",581.108776078525,507.513467025904,73.5953090526218
